;updated;high;low;open;close;volume;average
1169;1585602000;6531.66;6350.61;6403.31;6423.61;36169.65;6441.135
1170;1585515600;6616.94;5874.8;5882.2;6403.31;70623.69;6245.87
1171;1585429200;6286.96;5882.2;6252.49;5882.2;47232.21;6084.58
1172;1585342800;6384.56;6051.23;6382.8;6252.49;60814.06;6217.895
1173;1585256400;6876.97;6312.53;6757.95;6382.8;57134.12;6594.75
1174;1585170000;6796.12;6539.61;6694.21;6757.95;45203.7;6667.865
1175;1585083600;6980.29;6483.0;6767.18;6694.21;84721.04;6731.645
1176;1584997200;6857.49;6406.64;6503.53;6767.18;105151.69;6632.0650000000005
1177;1584910800;6614.56;5703.64;5828.15;6503.53;107692.99;6159.1
1178;1584824400;6415.14;5750.68;6195.43;5828.15;75451.24;6082.91
1179;1584738000;6459.65;5876.79;6206.44;6195.43;67262.29;6168.219999999999
1180;1584651600;6932.04;5691.69;6184.88;6206.44;148232.44;6311.865
1181;1584565200;6418.99;5268.33;5413.06;6184.88;147007.71;5843.66
1182;1584478800;5451.02;5024.71;5337.66;5413.06;109210.96;5237.865
1183;1584392400;5561.43;4950.9;5045.0;5337.66;116314.49;5256.165
1184;1584306000;5364.93;4454.22;5357.02;5045.0;203116.86;4909.575000000001
1185;1584219600;5961.78;5114.06;5181.77;5357.02;105160.64;5537.92
1186;1584133200;5665.57;5069.29;5632.58;5181.77;87978.27;5367.43
1187;1584046800;5984.55;3948.92;4916.78;5632.58;319316.54;4966.735000000001
1188;1583960400;7984.16;4736.21;7945.36;4916.78;286243.45;6360.185
1189;1583874000;7998.79;7614.48;7894.66;7945.36;47596.23;7806.635
1190;1583787600;8165.09;7758.12;7944.4;7894.66;53646.28;7961.605
1191;1583701200;8200.82;7664.34;8057.67;7944.4;86700.45;7932.58
1192;1583614800;8920.28;8033.06;8903.72;8057.67;63231.33;8476.67
1193;1583528400;9225.42;8880.33;9160.39;8903.72;20669.17;9052.875
1194;1583442000;9183.26;9015.35;9074.82;9160.39;21090.1;9099.305
1195;1583355600;9179.74;8772.83;8773.78;9074.82;33760.74;8976.285
1196;1583269200;8863.91;8690.82;8765.68;8773.78;22115.34;8777.365
1197;1583182800;8940.69;8680.57;8919.74;8765.68;28648.83;8810.630000000001
1198;1583096400;8983.78;8521.79;8549.38;8919.74;33004.6;8752.785
1199;1583010000;8776.71;8443.57;8545.45;8549.38;25550.31;8610.14
1200;1582923600;8815.63;8545.32;8719.29;8545.45;16806.37;8680.474999999999
1201;1582837200;8908.8;8449.12;8821.5;8719.29;41600.5;8678.96
1202;1582750800;8978.84;8540.74;8793.5;8821.5;47005.39;8759.79
1203;1582664400;9379.07;8652.97;9316.18;8793.5;65447.95;9016.02
1204;1582578000;9682.05;9258.4;9664.21;9316.18;34827.75;9470.225
1205;1582491600;10019.3;9495.76;9977.39;9664.21;34044.18;9757.53
1206;1582405200;10011.4;9669.88;9671.46;9977.39;23058.71;9840.64
1207;1582318800;9720.21;9577.84;9697.86;9671.46;12206.36;9649.025
